Longitude,Latitude,U,V
-4.640664879357746031e+01,-2.408332547581114724e+01,-5.400000000000000355e-01,7.000000000000000666e-02
-4.640566542254432392e+01,-2.408332547581114724e+01,-5.500000000000000444e-01,7.000000000000000666e-02
-4.640468216372990895e+01,-2.408332547581114724e+01,-5.500000000000000444e-01,7.000000000000000666e-02
-4.640369882030412896e+01,-2.408332547581114724e+01,-5.500000000000000444e-01,7.000000000000000666e-02
-4.640271549068097556e+01,-2.408332547581114724e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.640173227376693887e+01,-2.408332547581114724e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.640074897173932555e+01,-2.408332547581114724e+01,-5.600000000000000533e-01,7.000000000000000666e-02
-4.639976578184795386e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,7.000000000000000666e-02
-4.639878329410801427e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,8.000000000000000167e-02
-4.639780003346813686e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,8.000000000000000167e-02
-4.639681688495894463e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,8.000000000000000167e-02
-4.639583365184153507e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,8.999999999999999667e-02
-4.639485053091879507e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,8.999999999999999667e-02
-4.639386732538827118e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.000000000000000056e-01
-4.639288413371507147e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,1.000000000000000056e-01
-4.639190105409906550e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,1.000000000000000056e-01
-4.639091788994085874e+01,-2.408332547581114724e+01,-5.699999999999999512e-01,1.000000000000000056e-01
-4.638993483796461703e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638895170138169277e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638796857858534395e+01,-2.408332547581114724e+01,-5.799999999999999600e-01,1.100000000000000006e-01
